,no_bathroom,condition,district,price,no_rooms,ref,estate_type,area,altitude,energy_efficiency,longitude,area_total,area_usage
1301,3.0,Construção,Alvalade,1030000.0,3.0,265180122,Apartamento,,-9.093761,A,38.76787,160.0,160.0
1302,3.0,Novo,Avenidas Novas,795000.0,2.0,265180125,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,184.67,148.0
1304,1.0,Usado,Alvalade,350000.0,,265180157,Escritório,Campo Grande,-9.093761,B,38.76787,96.0,84.0
1305,4.0,Construção,Avenidas Novas,1100000.0,3.0,265180201,Apartamento,,-9.1471513,,38.7410926,170.0,138.0
1306,2.0,Usado,Alvalade,435000.0,3.0,265190002,Duplex,Av. Roma/Av. E.U.A.,-9.093761,E,38.76787,116.0,106.0
1307,2.0,Usado,Alvalade,365000.0,2.0,265190022,Apartamento,Alvalade,-9.093761,C,38.76787,100.0,90.0
1308,2.0,Renovado,Alvalade,440000.0,3.0,265190038,Apartamento,Avenida de Roma,-9.093761,F,38.76787,91.0,72.0
1310,2.0,Usado,Alvalade,495000.0,2.0,265190046,Apartamento,Alvalade,-9.093761,E,38.76787,140.0,140.0
1312,1.0,Usado,Avenidas Novas,299900.0,3.0,265190054,Apartamento,Avenidas Novas,-9.1471513,D,38.7410926,80.0,72.0
1314,3.0,Usado,Avenidas Novas,530000.0,,265190058,Loja,Avenidas Novas,-9.1471513,C,38.7410926,320.0,320.0
1315,2.0,Usado,Avenidas Novas,375000.0,3.0,265190060,Apartamento,Avenidas Novas,-9.1471513,D,38.7410926,102.0,100.0
1316,1.0,Usado,Avenidas Novas,213500.0,2.0,265190064,Apartamento,,-9.1471513,D,38.7410926,70.0,68.0
1318,4.0,Construção,Alvalade,2165000.0,4.0,265190068,Apartamento,,-9.093761,A,38.76787,311.0,311.0
1319,3.0,Usado,Alvalade,820000.0,3.0,265190070,Apartamento,Avenidas Novas,-9.093761,B,38.76787,170.0,155.0
1321,1.0,Construção,Alvalade,492500.0,1.0,265190077,Apartamento,,-9.093761,A,38.76787,102.0,62.0
1322,1.0,Construção,Alvalade,485000.0,1.0,265190078,Apartamento,,-9.093761,A,38.76787,99.0,60.0
1323,1.0,Construção,Alvalade,485000.0,1.0,265190079,Apartamento,,-9.093761,A,38.76787,99.0,60.0
1324,1.0,Construção,Alvalade,485000.0,1.0,265190080,Apartamento,,-9.093761,A,38.76787,99.0,60.0
1325,1.0,Construção,Alvalade,485000.0,1.0,265190081,Apartamento,,-9.093761,A,38.76787,99.0,60.0
1326,1.0,Construção,Alvalade,475000.0,1.0,265190082,Apartamento,,-9.093761,A,38.76787,94.0,60.0
1328,,Usado,Avenidas Novas,980000.0,,265190086,Prédio,Avenidas Novas / Bairro de Santos,-9.1471513,,38.7410926,639.0,629.0
1329,1.0,Usado,Alvalade,215000.0,1.0,265190088,Apartamento,Alvalade,-9.093761,D,38.76787,52.0,47.0
1331,5.0,Usado,Avenidas Novas,337500.0,,265190092,Restaurante,Avenidas Novas,-9.1471513,C,38.7410926,176.0,176.0
1333,,Usado,Avenidas Novas,17500.0,,265190094,Garagem,Avenidas Novas,-9.1471513,,38.7410926,20.0,20.0
1335,2.0,Usado,Alvalade,648000.0,3.0,265190099,Apartamento,Alvalade,-9.093761,C,38.76787,132.0,121.0
1336,2.0,Usado,Alvalade,400000.0,2.0,265190103,Apartamento,Alvalade,-9.093761,C,38.76787,108.5,108.0
1337,4.0,Usado,Alvalade,540000.0,,265190105,Escritório,Alvalade / Av. Forças Armadas,-9.093761,,38.76787,172.0,157.0
1338,1.0,Usado,Avenidas Novas,285000.0,1.0,265190113,Apartamento,Alvalade / Av. Forças Armadas,-9.1471513,B,38.7410926,64.0,53.0
1339,3.0,Usado,Alvalade,945000.0,4.0,265190115,Apartamento,Alvalade,-9.093761,D,38.76787,268.0,240.0
1340,2.0,Construção,Avenidas Novas,2300000.0,,265190117,Loja,Avenidas Novas,-9.1471513,,38.7410926,633.95,633.0
